rank,display_name,source_player_name,player_id,source_group,is_official_75,extra_reason,is_chinese_national_special,from_season,to_season,seasons_played,peak_points_per_game,all_star_count,all_nba_count,mvp_seasons,has_fmvp,has_sixth_man,is_hall_of_fame_quality,is_legend_quality,is_goat_quality,quality_levels,quality_names,quality_basis,goat_attribute_override
96,Paul George,Paul George,georgpa01,Extra24,False,落选官方75大；多次最佳阵容、攻防核心,False,2011,2026,16,28.0,9,6,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 9"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 6""}",
97,Blake Griffin,Blake Griffin,griffbl01,Extra24,False,落选官方75大；多次全明星、最佳阵容前锋,False,2011,2023,13,24.5,6,5,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 6"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5""}",
98,LaMarcus Aldridge,LaMarcus Aldridge,aldrila01,Extra24,False,落选官方75大；多次全明星、最佳阵容内线,False,2007,2022,16,23.4,7,5,,False,False,False,False,False,3|7|8|9|10,新秀|首发|核心|全明星|最佳阵容,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5""}",
99,Alex English,Alex English,englial01,Extra24,False,落选官方75大；名人堂、得分王级锋线,False,1977,1991,15,29.8,8,3,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 8"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 3"", ""名人堂"": ""官方75大或名人堂履历""}",
100,Chris Webber,Chris Webber,webbech01,Extra24,False,落选官方75大；名人堂、国王时代核心内线,False,1994,2008,15,27.1,5,5,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 5"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""名人堂"": ""官方75大或名人堂履历""}",
101,Wang Zhizhi,Wang Zhizhi,zhizhwa01,ChinaSpecial,False,中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2001,2005,5,5.6,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
102,Mengke Bateer,Mengke Bateer,bateeme01,ChinaSpecial,False,中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2002,2004,3,5.1,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
103,Yi Jianlian,Yi Jianlian,jianlyi01,ChinaSpecial,False,中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2008,2012,5,12.0,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
104,Sun Yue,Sun Yue,yuesu01,ChinaSpecial,False,中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2009,2009,1,0.6,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
105,Zhou Qi,Zhou Qi,qizh01,ChinaSpecial,False,中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2018,2019,2,2.0,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
106,Cui Yongxi,Cui Yongxi,cuiyo01,ChinaSpecial,False,中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2025,2025,1,0.6,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
107,Yang Hansen,Yang Hansen,yangha01,ChinaSpecial,False,中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2026,2026,1,2.2,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
108,Kyle Anderson,Kyle Anderson,anderky01,ChinaSpecial,False,中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满,True,2015,2026,12,12.4,0,0,,False,False,True,True,True,3|4|5|6|7|8|9|10|11|12|13|14|15,新秀|饮水机|轮换|第六人|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂|传奇|GOAT,"{""新秀"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""饮水机"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""轮换"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""第六人"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""首发"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""核心"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""全明星"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""最佳阵容"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""MVP"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""FMVP"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""名人堂"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""传奇"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满"", ""GOAT"": ""中国籍归化球员特例；开发者私心：开放新秀及以上所有品质，GOAT属性全满""}","{""scoring"": 1000, ""rebound"": 550, ""assist"": 300, ""steal"": 110, ""block"": 170}"
