rank,display_name,source_player_name,player_id,source_group,is_official_75,extra_reason,is_chinese_national_special,from_season,to_season,seasons_played,peak_points_per_game,all_star_count,all_nba_count,mvp_seasons,has_fmvp,has_sixth_man,is_hall_of_fame_quality,is_legend_quality,is_goat_quality,quality_levels,quality_names,quality_basis,goat_attribute_override
40,Jerry Lucas,Jerry Lucas,lucasje01,NBA75,True,,False,1964,1974,11,21.5,7,5,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 5"", ""名人堂"": ""官方75大或名人堂履历""}",
41,Karl Malone,Karl Malone,malonka01,NBA75,True,,False,1986,2004,19,31.0,14,14,1999|1997,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 14"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 14"", ""MVP"": ""MVP赛季: 1999, 1997"", ""名人堂"": ""官方75大或名人堂履历""}",
42,Moses Malone,Moses Malone,malonmo01,NBA75,True,,False,1975,1995,21,31.1,13,8,1983|1982|1979,True,False,True,False,False,3|7|8|9|10|11|12|13,新秀|首发|核心|全明星|最佳阵容|MVP|FMVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 13"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 8"", ""MVP"": ""MVP赛季: 1983, 1982, 1979"", ""FMVP"": ""获得过总决赛MVP"", ""名人堂"": ""官方75大或名人堂履历""}",
43,Pete Maravich,Pete Maravich,maravpe01,NBA75,True,,False,1971,1980,10,31.1,5,4,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 5"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 4"", ""名人堂"": ""官方75大或名人堂履历""}",
44,Bob McAdoo,Bob McAdoo,mcadobo01,NBA75,True,,False,1973,1986,14,34.5,5,2,1975,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 5"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 2"", ""MVP"": ""MVP赛季: 1975"", ""名人堂"": ""官方75大或名人堂履历""}",
45,Kevin McHale,Kevin McHale,mchalke01,NBA75,True,,False,1981,1993,13,26.1,7,1,,False,True,True,False,False,3|6|7|8|9|10|13,新秀|第六人|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""第六人"": ""年度最佳第六人赛季: 1985, 1984"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 7"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 1"", ""名人堂"": ""官方75大或名人堂履历""}",
46,George Mikan,George Mikan,mikange01,NBA75,True,,False,1949,1956,8,28.4,4,6,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 4"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 6"", ""名人堂"": ""官方75大或名人堂履历""}",
47,Reggie Miller,Reggie Miller,millere01,NBA75,True,,False,1988,2005,18,24.6,5,3,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 5"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 3"", ""名人堂"": ""官方75大或名人堂履历""}",
48,Earl Monroe,Earl Monroe,monroea01,NBA75,True,,False,1968,1980,13,25.8,4,1,,False,False,True,False,False,3|7|8|9|10|13,新秀|首发|核心|全明星|最佳阵容|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 4"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 1"", ""名人堂"": ""官方75大或名人堂履历""}",
49,Steve Nash,Steve Nash,nashst01,NBA75,True,,False,1997,2014,18,18.8,8,7,2006|2005,False,False,True,False,False,3|7|8|9|10|11|13,新秀|首发|核心|全明星|最佳阵容|MVP|名人堂,"{""新秀"": ""所有入选球星都保留新秀卡"", ""首发"": ""入选百大球星池，具备首发级履历"", ""核心"": ""入选百大球星池，具备球队核心级履历"", ""全明星"": ""全明星入选次数: 8"", ""最佳阵容"": ""最佳阵容/ABA/BAA阵容次数: 7"", ""MVP"": ""MVP赛季: 2006, 2005"", ""名人堂"": ""官方75大或名人堂履历""}",
